sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 1,0,دور,dur,is,-ды,есть,dir,dır,dur,chg,word,1,
Ch 1,1,دور,dur,are,-ды,есть,dirlar,dırlar,dur,chg,word,1,
Ch 1,2,توز اچیق دور,tuz aççıqdur,salt is bitter,тұз ащы,соль горькая,tuz achchiqdir,tuz acıdır,tuz aççıqdur,chg,phrase,2,
Ch 1,3,قند اق دور,qand aqdur,sugar is white,қант ақ,сахар белый,qand oqdir,şeker beyazdır,qand aqdur,chg,phrase,2,
Ch 1,4,موز قاتیق دور,muz qattıqdur,ice is hard,мұз қатты,лед твердый,muz qattiqdir,buz serttir,muz qattıqdur,chg,phrase,2,
Ch 1,5,موز ساوق دور,muz sawuqdur,ice is cold,мұз суық,лед холодный,muz sovuqdir,buz soğuktur,muz sawuqdur,chg,phrase,2,
Ch 1,6,قند شیرین دور,qand şı̇̄rı̇̄ndür,sugar is sweet,қант тәтті,сахар сладкий,qand shirindir,şeker tatlıdır,qand şı̇̄rı̇̄ndür,chg,phrase,2,
Ch 1,7,چای ایسیقدور,çay ıssıqdur,tea is hot,шай ыстық,чай горячий,choy issiqdir,çay sıcaktır,çay ıssıqdur,chg,phrase,2,
Ch 1,8,چای تاتلیق دور,çay tatlıqdur,tea is tasty,шай дәмді,чай вкусный,choy mazalidir,çay lezzetlidir,çay tatlıqdur,chg,phrase,2,
Ch 1,9,قند و چای قیمت دور,qand wa çay qımmatdur,sugar and tea are expensive,қант пен шай қымбат,сахар и чай дорогие,qand va choy qimmatdir,şeker ve çay pahalıdır,qand wa çay qımmatdur,chg,phrase,4,
Ch 1,10,نان و سوت آرزان دور,nān wa  süt arzāndur,bread and milk are cheap,нан мен сүт арзан,хлеб и молоко дешевые,non va sut arzondir,ekmek ve süt ucuzdur,nān wa  süt arzāndur,chg,phrase,4,
Ch 1,11,قتق اق سوت دور,qatıq aq sütdür,yogurt is white milk,қатық – ақ сүт,йогурт — белое молоко,qatiq oq sutdir,yoğurt beyaz süttür,qatıq aq sütdür,chg,phrase,3,
Ch 1,12,شورپا گوشت و توزدور,şorpa göşt wa tuzdur,soup is meat and salt,сорпа – ет пен тұз,суп — это мясо и соль,sho'rva go'sht va tuzdir,çorba et ve tuzdur,şorpa göşt wa tuzdur,chg,phrase,4,
Ch 1,13,میوە قنددور,mı̇̄wa qanddur,fruit is sugar,жеміс – қант,фрукт — это сахар,meva qanddir,meyve şekérdir,mı̇̄wa qanddur,chg,phrase,2,
Ch 1,14,ایماس,emes,is not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,15,ایماس,emes,are not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,16,ایرماس,ermes,is not,емес,не,emas,değil,ermes,chg,word,1,
Ch 1,17,ایرماس,ermes,are not,емес,не,emas,değil,ermes,chg,word,1,
Ch 1,18,ایماس دور,emesdür,is not,емес,не есть,emasdir,değildir,emesdür,chg,word,1,
Ch 1,19,ایماس دور,emesdür,are not,емес,не есть,emasdir,değildir,emesdür,chg,word,1,
Ch 1,20,موز ایسیق ایماس,muz ıssıq emes,ice is not hot,мұз ыстық емес,лед не горячий,muz issiq emas,buz sıcak değil,muz ıssıq emes,chg,phrase,3,
Ch 1,21,قند اچیق ایماس دور,qand aççıq emesdür,sugar is not bitter,қант ащы емес,сахар не горький,qand achchiq emasdir,şeker acı değildir,qand aççıq emesdür,chg,phrase,3,
Ch 1,22,توز شیرین ایماس,tuz şı̇̄rı̇̄n emes,salt is not sweet,тұз тәтті емес,соль не сладкая,tuz shirin emas,tuz tatlı değil,tuz şı̇̄rı̇̄n emes,chg,phrase,3,
Ch 1,23,موز تاتلیق ایماس دور,muz tatlıq emesdür,ice is not tasty,мұз дәмді емес,лед не вкусный,muz mazali emasdir,buz lezzetli değildir,muz tatlıq emesdür,chg,phrase,3,
Ch 1,24,قند آرزان ایماس,qand arzān emes,sugar is not cheap,қант арзан емес,сахар не дешевый,qand arzon emas,şeker ucuz değil,qand arzān emes,chg,phrase,3,
Ch 1,25,چای ساوق ایماس دور,çay sawuq emesdür,tea is not cold,шай суық емес,чай не холодный,choy sovuq emasdir,çay soğuk değildir,çay sawuq emesdür,chg,phrase,3,
Ch 1,26,قند میوە ایماس,qand mı̇̄wa emes,sugar is not fruit,қант жеміс емес,сахар — не фрукт,qand meva emas,şeker meyve değil,qand mı̇̄wa emes,chg,phrase,3,
Ch 1,27,شورپا گوشت و توز ایماسدور,şorpa göşt wa tuz emesdür,soup is not meat and salt,сорпа ет пен тұз емес,суп — не мясо и соль,sho'rva go'sht va tuz emasdir,çorba et ve tuz değildir,şorpa göşt wa tuz emesdür,chg,sentence,5,
Ch 1,28,قیزیل گوشت آش ایماس دور,qızıl göşt aş emesdür,red meat is not rice,қызыл ет күріш емес,красное мясо — не рис,qizil go'sht guruch emasdir,kırmızı et pirinç değildir,qızıl göşt aş emesdür,chg,phrase,4,
Ch 1,29,دارو آرزان ایماس قیمت دور,dārū arzān emes qımmatdur,medicine is not cheap it is expensive,"дәрі арзан емес, қымбат","лекарство не дешевое, оно дорогое","dori arzon emas, qimmatdir","ilaç ucuz değil, pahalıdır",dārū arzān emes qımmatdur,chg,phrase,4,
