sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 1,0,دور,dur,is,-ды,есть,dir,dır,dur,chg,word,1,
Ch 1,1,دور,dur,are,-ды,есть,dirlar,dırlar,dur,chg,word,1,
Ch 1,14,ایماس,emes,is not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,15,ایماس,emes,are not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,16,ایرماس,ermes,is not,емес,не,emas,değil,ermes,chg,word,1,
Ch 1,17,ایرماس,ermes,are not,емес,не,emas,değil,ermes,chg,word,1,
Ch 1,18,ایماس دور,emesdür,is not,емес,не есть,emasdir,değildir,emesdür,chg,word,1,
Ch 1,19,ایماس دور,emesdür,are not,емес,не есть,emasdir,değildir,emesdür,chg,word,1,
Ch 1,45,نان,nān,bread,нан,хлеб,non,ekmek,nān,chg,word,1,
Ch 1,46,توز,tuz,salt,тұз,соль,tuz,tuz,tuz,chg,word,1,
Ch 1,47,قند,qand,sugar,қант,сахар,qand,şeker,qand,chg,word,1,
Ch 1,48,چای,çay,tea,шай,чай,choy,çay,çay,chg,word,1,
Ch 1,49,موز,muz,ice,мұз,лед,muz,buz,muz,chg,word,1,
Ch 1,50,سوت,süt,milk,сүт,молоко,sut,süt,süt,chg,word,1,
Ch 1,51,اش,aş,rice,күріш,рис,guruch,pirinç,aş,chg,word,1,
Ch 1,52,شورپا,şorpa,soup,сорпа,суп,sho'rva,çorba,şorpa,chg,word,1,
Ch 1,53,مرچ,murç,pepper,бұрыш,перец,murch,biber,murç,chg,word,1,
Ch 1,54,گوشت,göşt,meat,ет,мясо,go'sht,et,göşt,chg,word,1,
Ch 1,55,میوه,mı̇̄wa,fruit,жеміс,фрукт,meva,meyve,mı̇̄wa,chg,word,1,
Ch 1,56,تاتلیق,tatlıq,tasty,дәмді,вкусный,mazali,lezzetli,tatlıq,chg,word,1,
Ch 1,57,یخشی,yaḫşı,good,жақсы,хороший,yaxshi,iyi,yaḫşı,chg,word,1,
Ch 1,58,شیرین,şirin,sweet,тәтті,сладкий,shirin,tatlı,şirin,chg,word,1,
Ch 1,59,قرا,qara,black,қара,черный,qora,siyah,qara,chg,word,1,
Ch 1,60,ایماس,emes,is not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,61,ایماس,emes,are not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,62,اق,aq,white,ақ,белый,oq,beyaz,aq,chg,word,1,
Ch 1,63,قیمت,qımmat,expensive,қымбат,дорогой,qimmat,pahalı,qımmat,chg,word,1,
Ch 1,64,ارزان,arzān,cheap,арзан,дешевый,arzon,ucuz,arzān,chg,word,1,
Ch 1,65,قاتیق,qattıq,hard,қатты,твердый,qattiq,sert,qattıq,chg,word,1,
Ch 1,66,اچیق,aççıq,bitter,ащы,горький,achchiq,acı,aççıq,chg,word,1,
Ch 1,67,اچیق,aççıq,spicy,ащы,острый,achchiq,acı,aççıq,chg,word,1,
Ch 1,68,و,wa,and,және,и,va,ve,wa,chg,word,1,
Ch 1,69,دارو,dārū,medicine,дәрі,лекарство,dori,ilaç,dārū,chg,word,1,
Ch 1,70,رنک,reñ,color,түс,цвет,rang,renk,reñ,chg,word,1,
Ch 1,71,پُل,pul,money,ақша,деньги,pul,para,pul,chg,word,1,
Ch 1,72,قتق,qatıq,yogurt,қатық,йогурт,qatiq,yoğurt,qatıq,chg,word,1,
Ch 1,73,قزل,qızıl,red,қызыл,красный,qizil,kırmızı,qızıl,chg,word,1,
Ch 1,74,ایسیق,ıssıq,hot,ыстық,горячий,issiq,sıcak,ıssıq,chg,word,1,
Ch 1,75,ساوق,sawuq,cold,суық,холодный,sovuq,soğuk,sawuq,chg,word,1,
Ch 1,76,ینكي,yañı,new,жаңа,новый,yangi,yeni,yañı,chg,word,1,
Ch 1,77,کوک,kök,blue,көк,синий,ko'k,mavi,kök,chg,word,1,
Ch 1,78,کوک,kök,green,жасыл,зеленый,yashil,yeşil,kök,chg,word,1,
Ch 1,79,دور,dur,is,-ды/-ді,есть,dir,-dır,dur,chg,word,1,
Ch 1,80,دور,dur,are,-ды/-ді,есть,dir,-dır,dur,chg,word,1,
Ch 2,5,,wa,and,және,и,va,ve,wa,chg,word,1,و
Ch 2,9,,bar,there is,бар,есть,bor,var,bar,chg,word,1,بار
Ch 2,10,,bar,there exists,бар,существует,bor,mevcut,bar,chg,word,1,بار
Ch 2,11,,bardur,there is,бар,есть,bordir,vardır,bardur,chg,word,1,باردور
Ch 2,24,,yoq,there is no,жоқ,нет,yo‘q,yok,yoq,chg,word,1,يوق
Ch 2,25,,yoq,there exists not,жоқ,не существует,yo‘q,mevcut değil,yoq,chg,word,1,يوق
Ch 2,35,,bu,this,бұл,этот,bu,bu,bu,chg,word,1,بو
Ch 2,36,,ol,that,ол,тот,u,o,ol,chg,word,1,اول
Ch 2,37,,ol,that,ол,тот,u,o,ol,chg,word,1,اول
Ch 2,38,,şu,this,осы,этот,shu,şu,şu,chg,word,1,شو
Ch 2,39,,şol,this,сол,тот,shul,şu,şol,chg,word,1,شول
Ch 2,40,,uşbu,just this,мынау,именно этот,ushbu,işbu,uşbu,chg,word,1,اوشبو
