id,sheet,source_text,target_text,source_lang,target_lang,type,length
Ch 1_0_en,Ch 1,dur,is,chg,en,word,1
Ch 1_0_kk,Ch 1,dur,-ды,chg,kk,word,1
Ch 1_0_ru,Ch 1,dur,есть,chg,ru,word,1
Ch 1_0_uz,Ch 1,dur,dir,chg,uz,word,1
Ch 1_0_tr,Ch 1,dur,dır,chg,tr,word,1
Ch 1_1_en,Ch 1,dur,are,chg,en,word,1
Ch 1_1_uz,Ch 1,dur,dirlar,chg,uz,word,1
Ch 1_1_tr,Ch 1,dur,dırlar,chg,tr,word,1
Ch 1_2_en,Ch 1,tuz aççıqdur,salt is bitter,chg,en,phrase,2
Ch 1_2_kk,Ch 1,tuz aççıqdur,тұз ащы,chg,kk,phrase,2
Ch 1_2_ru,Ch 1,tuz aççıqdur,соль горькая,chg,ru,phrase,2
Ch 1_2_uz,Ch 1,tuz aççıqdur,tuz achchiqdir,chg,uz,phrase,2
Ch 1_2_tr,Ch 1,tuz aççıqdur,tuz acıdır,chg,tr,phrase,2
Ch 1_3_en,Ch 1,qand aqdur,sugar is white,chg,en,phrase,2
Ch 1_3_kk,Ch 1,qand aqdur,қант ақ,chg,kk,phrase,2
Ch 1_3_ru,Ch 1,qand aqdur,сахар белый,chg,ru,phrase,2
Ch 1_3_uz,Ch 1,qand aqdur,qand oqdir,chg,uz,phrase,2
Ch 1_3_tr,Ch 1,qand aqdur,şeker beyazdır,chg,tr,phrase,2
Ch 1_4_en,Ch 1,muz qattıqdur,ice is hard,chg,en,phrase,2
Ch 1_4_kk,Ch 1,muz qattıqdur,мұз қатты,chg,kk,phrase,2
Ch 1_4_ru,Ch 1,muz qattıqdur,лед твердый,chg,ru,phrase,2
Ch 1_4_uz,Ch 1,muz qattıqdur,muz qattiqdir,chg,uz,phrase,2
Ch 1_4_tr,Ch 1,muz qattıqdur,buz serttir,chg,tr,phrase,2
Ch 1_5_en,Ch 1,muz sawuqdur,ice is cold,chg,en,phrase,2
Ch 1_5_kk,Ch 1,muz sawuqdur,мұз суық,chg,kk,phrase,2
Ch 1_5_ru,Ch 1,muz sawuqdur,лед холодный,chg,ru,phrase,2
Ch 1_5_uz,Ch 1,muz sawuqdur,muz sovuqdir,chg,uz,phrase,2
Ch 1_5_tr,Ch 1,muz sawuqdur,buz soğuktur,chg,tr,phrase,2
Ch 1_7_en,Ch 1,çay ıssıqdur,tea is hot,chg,en,phrase,2
Ch 1_7_kk,Ch 1,çay ıssıqdur,шай ыстық,chg,kk,phrase,2
Ch 1_7_ru,Ch 1,çay ıssıqdur,чай горячий,chg,ru,phrase,2
Ch 1_7_uz,Ch 1,çay ıssıqdur,choy issiqdir,chg,uz,phrase,2
Ch 1_7_tr,Ch 1,çay ıssıqdur,çay sıcaktır,chg,tr,phrase,2
Ch 1_8_en,Ch 1,çay tatlıqdur,tea is tasty,chg,en,phrase,2
Ch 1_8_kk,Ch 1,çay tatlıqdur,шай дәмді,chg,kk,phrase,2
